분류,이벤트,단계,카드_상단_메세지(현재),TTS_메세지(현재),변수,비고,수정_카드_메세지,수정_TTS_메세지,수정_비고
회전카드,uturn,approach,유턴(유형12/13),{dist}미터 앞 유턴,{dist},,유턴(유형12/13),{dist}미터 앞 유턴입니다,
회전카드,uturn,imminent,유턴(유형12/13),유턴입니다,,,유턴(유형12/13),곧 유턴입니다,
회전카드,ramp,approach,램프 직진/우측/좌측(유형17/18/19),{dist}미터 앞 진입,{dist},출구명 없을 때,우측으로 진입(유형18),{dist}미터 앞 우측 방향입니다,"좌, 우, 직진을 세분화"
회전카드,ramp,imminent,램프 직진/우측/좌측(유형17/18/19),진입입니다,,출구명 없을 때,우측으로 진입(유형18),곧 진입로입니다,"좌, 우, 직진을 세분화"
회전카드,ramp,approach_named,램프 직진/우측/좌측(유형17/18/19),{dist}미터 앞 {exit_name} 방면 진입,"{dist}, {exit_name}",Valhalla가 출구명을 반환할 때,{exit_name} 방면으로 진입(유형18),{dist}미터 앞 {exit_name} 방면 우측 방향입니다,"좌, 우, 직진을 세분화"
회전카드,ramp,imminent_named,램프 직진/우측/좌측(유형17/18/19),{exit_name} 방면 진입입니다,{exit_name},Valhalla가 출구명을 반환할 때,{exit_name} 방면으로 진입(유형18),곧 진입로입니다,"좌, 우, 직진을 세분화"
회전카드,ramp,approach,,,,,좌측으로 진입(유형19),{dist}미터 앞 좌측 방향입니다,"좌, 우, 직진을 세분화"
회전카드,ramp,imminent,,,,,좌측으로 진입(유형19),곧 진입로입니다,"좌, 우, 직진을 세분화"
회전카드,ramp,approach_named,,,,,{exit_name} 방면으로 진입(유형19),{dist}미터 앞 {exit_name} 방면 좌측 방향입니다,"좌, 우, 직진을 세분화"
회전카드,ramp,imminent_named,,,,,{exit_name} 방면으로 진입(유형19),곧 진입로입니다,"좌, 우, 직진을 세분화"
회전카드,ramp,approach,,,,,직진(유형17),{dist}미터 앞 계속 직진입니다,"좌, 우, 직진을 세분화"
회전카드,ramp,imminent,,,,,직진(유형17),계속 직진입니다,"좌, 우, 직진을 세분화"
회전카드,ramp,approach_named,,,,,{exit_name} 방면으로 직진(유형17),{dist}미터 앞 {exit_name} 방면 계속 직진입니다,"좌, 우, 직진을 세분화"
회전카드,ramp,imminent_named,,,,,{exit_name} 방면으로 직진(유형17),계속 직진입니다,"좌, 우, 직진을 세분화"
회전카드,exit,approach,우측 출구(유형20) / 좌측 출구(유형21),{dist}미터 앞 진출,{dist},출구명·랜드마크·구조물 정보 모두 없을 때,우측으로 진출(유형20),{dist}미터 앞 우측 방향입니다.,
회전카드,exit,imminent,우측 출구(유형20) / 좌측 출구(유형21),진출입니다,,,우측으로 진출(유형20),곧 우측 방향입니다,
회전카드,exit,approach,,,,,좌측으로 진출(유형21),{dist}미터 앞 좌측 방향입니다,
회전카드,exit,imminent,,,,,좌측으로 진출(유형21),곧 좌측 방향입니다,
회전카드,exit,approach_named,우측 출구 / 좌측 출구,{dist}미터 앞 {exit_name} 진출,"{dist}, {exit_name}",Valhalla 출구명이 있을 때(최우선),우측으로 진출(유형20),{dist}미터 앞 {exit_name} 방면 우측 방향입니다,Valhalla 출구명이 있을 때(최우선)
회전카드,exit,imminent_named,우측 출구 / 좌측 출구,{exit_name} 진출입니다,{exit_name},,우측으로 진출(유형20),곧 진출로입니다,
회전카드,exit,approach_named,,,,,좌측으로 진출(유형21),{dist}미터 앞 {exit_name} 방면 좌측 방향입니다,Valhalla 출구명이 있을 때(최우선)
회전카드,exit,imminent_named,,,,,좌측으로 진출(유형21),곧 진출로입니다,
회전카드,exit,approach_landmark,우측 출구 / 좌측 출구,{dist}미터 앞 {landmark} 방면 {direction}측 출구,"{dist}, {landmark}, {direction}",출구명 없고 오프라인 랜드마크 폴백을 찾았을 때(구조물 정보보다 후순위),우측으로 진출(유형20),{dist}미터 앞 {landmark} 방면 우측 방향입니다,출구명 없고 오프라인 랜드마크 폴백을 찾았을 때(구조물 정보보다 후순위)
회전카드,exit,imminent_landmark,우측 출구 / 좌측 출구,{landmark} 방면 {direction}측 출구입니다,"{landmark}, {direction}",,우측으로 진출(유형20),곧 우측 방향입니다,
회전카드,exit,approach_landmark,,,,,좌측으로 진출(유형21),{dist}미터 앞 {landmark} 방면 좌측 방향입니다,출구명 없고 오프라인 랜드마크 폴백을 찾았을 때(구조물 정보보다 후순위)
회전카드,exit,imminent_landmark,,,,,좌측으로 진출(유형21),곧 좌측 방향입니다,
회전카드,exit,approach_structure,{구조물}(고가도로/터널/지하차도) 우측·좌측 옆길,{dist}미터 앞 {structure} {direction_word} 옆길,"{dist}, {structure}, {direction_word}","출구 인접 구조물이 있을 때, 랜드마크보다 우선 적용",{구조물}(고가도로/터널/지하차도) 우측 옆길,{dist}미터 앞 {structure} 우측 옆길입니다,"출구 인접 구조물이 있을 때, 랜드마크보다 우선 적용"
회전카드,exit,imminent_structure,{구조물} 우측·좌측 옆길,{structure} {direction_word} 옆길입니다,"{structure}, {direction_word}",,{구조물} 우측·좌측 옆길,{structure} 우측 옆길입니다,
회전카드,exit,approach_structure,,,,,{구조물}(고가도로/터널/지하차도) 좌측 옆길,{dist}미터 앞 {structure} 좌측 옆길입니다,"출구 인접 구조물이 있을 때, 랜드마크보다 우선 적용"
회전카드,exit,imminent_structure,,,,,{구조물} 우측·좌측 옆길,{structure} 좌측 옆길입니다,
회전카드,keep,approach,직진(유형22),{dist}미터 앞 차선 유지,{dist},카드 문구는 continue(유형8)와 동일한 '직진'이지만 TTS 문구는 다름,직진(유형22),{dist}미터 앞 계속 직진입니다,카드 문구는 continue(유형8)와 동일한 '직진'이지만 TTS 문구는 다름
회전카드,keep,imminent,직진(유형22),차선 유지,,,직진(유형22),계속 직진입니다,
회전카드,keep_right,approach,우측 유지(유형23),{dist}미터 앞 오른쪽 차선 유지,{dist},,우측 차선(유형23),{dist}미터 앞 우측 차선입니다,
회전카드,keep_right,imminent,우측 유지(유형23),오른쪽 차선을 유지하세요,,,우측 차선(유형23),우측 차선을 유지하세요,
회전카드,keep_left,approach,좌측 유지(유형24),{dist}미터 앞 왼쪽 차선 유지,{dist},,좌측 차선(유형24),{dist}미터 앞 좌측 차선입니다,
회전카드,keep_left,imminent,좌측 유지(유형24),왼쪽 차선을 유지하세요,,,좌측 차선(유형24),좌측 차선을 유지하세요,
회전카드,continue,approach,직진(유형8),{dist}미터 앞 직진,{dist},카드 문구는 keep(유형22)과 동일한 '직진',직진(유형8),{dist}미터 앞 직진입니다,카드 문구는 keep(유형22)과 동일한 '직진'
회전카드,continue,imminent,직진(유형8),직진입니다,,,직진(유형8),직진입니다,
회전카드,merge,approach,합류(유형25/37/38),{dist}미터 앞 합류,{dist},,합류구간(유형25/37/38),{dist}미터 앞 합류합니다,
회전카드,merge,imminent,합류(유형25/37/38),합류 구간,,,합류구간(유형25/37/38),곧 합류합니다,
회전카드,roundabout(출구번호 미상),approach,"회전교차로 진입(유형26, 출구번호 없음)",{dist}미터 앞 회전교차로,{dist},Valhalla가 출구 번호를 안 줄 때만 쓰이는 폴백,"회전교차로 진입(유형26, 출구번호 없음)",{dist}미터 앞 회전교차로,Valhalla가 출구 번호를 안 줄 때만 쓰이는 폴백
회전카드,roundabout(출구번호 미상),imminent,"회전교차로 진입(유형26, 출구번호 없음)",회전교차로,,,"회전교차로 진입(유형26, 출구번호 없음)",회전교차로,
회전카드,roundabout_enter,approach,"회전교차로 {N}번째 출구(유형26, 출구번호 있음)","{dist}미터 앞 회전교차로, {exit}번째 출구","{dist}, {exit}",,"회전교차로 {N}번째 출구(유형26, 출구번호 있음)","{dist}미터 앞 회전교차로, {exit}번째 출구입니다",
회전카드,roundabout_enter,imminent,회전교차로 {N}번째 출구(유형26),"회전교차로, {exit}번째 출구",{exit},,회전교차로 {N}번째 출구(유형26),회전교차로 {exit}번째 출구입니다,
회전카드,roundabout_exit,approach,회전교차로 진출(유형27),{dist}미터 앞 회전교차로 진출,{dist},,회전교차로 진출(유형27),{dist}미터 앞 회전교차로 진출입니다,
회전카드,roundabout_exit,imminent,회전교차로 진출(유형27),곧 진출입니다,,approach는 '회전교차로 진출'을 명시하는데 imminent는 '진출'만 언급 ? 톤 일관성 확인 필요,회전교차로 진출(유형27),곧 {exit}번째 출구입니다,approach는 '회전교차로 진출'을 명시하는데 imminent는 '진출'만 언급 ? 톤 일관성 확인 필요
회전카드,destination,approach,목적지 도착 / 경유지 도착(유형4-6),{dist}미터 앞 {dest_word},"{dist}, {dest_word}",{dest_word}는 '목적지' 또는 '경유지'로 치환됨,목적지 도착 / 경유지 도착(유형4-6),{dist}미터 앞 {dest_word} 부근입니다,{dest_word}는 '목적지' 또는 '경유지'로 치환됨
회전카드,destination,imminent,목적지 도착 / 경유지 도착(유형4-6),{dest_word} 부근입니다,{dest_word},,목적지 도착 / 경유지 도착(유형4-6),{dest_word} 부근입니다,
회전카드,bridge,approach,(카드 없음),{dist}미터 앞부터 고가도로 구간입니다,{dist},구조물 zone 진입 안내 ? 회전카드와 무관한 별도 엔진,고가도로,{dist}미터 앞 고가도로로 진입합니다,구조물 zone 진입 안내 ? 회전카드와 무관한 별도 엔진
회전카드,bridge,imminent,(카드 없음),고가도로 진입,,,고가도로,곧 고가도로입니다,
회전카드,tunnel,approach,(카드 없음),{dist}미터 앞부터 터널 구간입니다,{dist},,터널,{dist}미터 앞 터널로 진입합니다,
회전카드,tunnel,imminent,(카드 없음),터널 진입,,,터널,곧 터널입니다,
회전카드,underpass,approach,(카드 없음),(음성 없음),,,지하차도,{dist}미터 앞 지하차도로 진입합니다,
회전카드,underpass,imminent,(카드 없음),(음성 없음),,,지하차도,곧 지하차도입니다,
음성전용,departure,-,(카드 없음 ? 상단 카드는 항상 '다음 턴'을 보여줘 '출발' 자체는 노출되지 않음),출발합니다,,내비게이션 시작 시 1회,(카드 없음 ? 상단 카드는 항상 '다음 턴'을 보여줘 '출발' 자체는 노출되지 않음),경로안내를 시작합니다,내비게이션 시작 시 1회
음성전용,reroute,-,(카드 없음),경로를 재탐색했습니다,,재탐색 성공 시(무음 재탐색 제외) 발화,(카드 없음),경로를 다시 찾았습니다,재탐색 성공 시(무음 재탐색 제외) 발화
음성전용,dest_passed,-,(카드 없음),목적지를 지나쳤습니다,,목적지를 정차 없이 지나쳐 벗어났을 때,(카드 없음),목적지를 지나쳤습니다,목적지를 정차 없이 지나쳐 벗어났을 때
도착배너,arrival,-,목적지에 도착했습니다,목적지에 도착했습니다,,도착 시 화면 상단에 뜨는 별도 배너 카드(회전카드와 다른 위젯). 카드 문구와 TTS 문구가 현재 동일함,목적지 도착,목적지에 도착했습니다,도착 시 화면 상단에 뜨는 별도 배너 카드(회전카드와 다른 위젯). 카드 문구와 TTS 문구가 현재 동일함
회전카드,waypoint_arrived,-,"경유지 도착(유형4-6, 최종 목적지가 아닐 때)",경유지에 도착했습니다,,,"경유지 도착(유형4-6, 최종 목적지가 아닐 때)",경유지에 도착했습니다,
음성전용,waypoint_passed,-,(카드 없음 ? 통과 후 다음 스텝으로 카드가 자연 전환됨),이번 경유지를 통과했습니다,,경유지를 정차 없이 지나칠 때,(카드 없음 ? 통과 후 다음 스텝으로 카드가 자연 전환됨),이번 경유지를 통과했습니다,경유지를 정차 없이 지나칠 때
카드전용,road_name_change,-,도로명 변경(유형7),(TTS 없음),,,도로명 변경(유형7),(TTS 없음),
카드전용,ferry_board,-,도선 탑승(유형28),(TTS 없음),,,도선 탑승(유형28),(TTS 없음),
카드전용,ferry_alight,-,도선 하차(유형29),(TTS 없음),,,도선 하차(유형29),(TTS 없음),
카드전용,fallback,-,직진(미분류 유형 기본값),(TTS 없음),,알 수 없는 maneuver 유형에 적용되는 기본 카드 문구,직진(미분류 유형 기본값),(TTS 없음),알 수 없는 maneuver 유형에 적용되는 기본 카드 문구
